"Table 5.1  Age-Adjusted Incidence Rates (1) by County, Florida, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Cancers,,,,,,,Lung & Bronchus,,,,,,,Prostate,,,,,,,Breast,,,,,,Colorectal,,,,,,,,Bladder,,,,,Head & Neck,,,,,,,Non-Hodgkin,,,,,Melanoma,,,,,,,Ovary,,,,,Cervix,,,,,
,Rate,CI,,,,,,Rate,,CI,,,,,Rate,CI,,,,,,Rate,,,CI,,,Rate,,,CI,,,,,Rate,CI,,,,Rate,,,CI,,,,Rate,,CI,,,Rate,,CI,,,,,Rate,CI,,,,Rate,,CI,,,
Marion,525.4,506.6,,545.0,,,,62.2,,56.5,,,68.7,,116.6,105.6,,,129.0,,,130.3,,,116.7,145.4,,35.7,,,30.8,,41.5,,,17.2,14.3,20.8,,,20.3,,,16.6,,24.7,,25.5,,21.3,30.5,,40.7,,35.3,,,47.1,,14.1,9.7,,20.4,,15.9,,10.3,,23.5,
Martin,494.1,465.6,,524.6,,,,48.0,,41.2,,,56.8,,98.2,84.1,,,116.0,,,132.8,,,110.5,160.0,,32.0,,,24.9,,41.4,,,17.4,13.6,23.4,,,17.1,,,12.4,,24.0,,29.0,,22.2,38.1,,58.6,,48.2,,,71.6,,9.5,4.1,,21.1,,12.1,,4.9,,25.8,
Miami-Dade,408.9,402.2,,415.8,,,,40.6,,38.5,,,42.7,,108.0,103.0,,,113.1,,,111.0,,,106.1,116.1,,36.4,,,34.5,,38.5,,,13.3,12.1,14.5,,,13.9,,,12.7,,15.2,,19.2,,17.7,20.7,,9.3,,8.2,,,10.5,,10.6,9.0,,12.3,,10.5,,8.9,,12.3,
Monroe,432.7,396.8,,472.5,,,,39.6,,30.3,,,52.9,,86.2,67.1,,,113.0,,,150.2,,,119.4,190.2,,40.9,,,30.4,,55.7,,,18.8,12.3,29.8,,,20.2,,,13.6,,31.4,,15.0,,9.2,25.5,,26.1,,17.3,,,40.6,,^,^,,^,,^,,^,,^,
Nassau,548.0,509.3,,589.6,,,,51.5,,41.0,,,65.1,,141.8,116.8,,,172.7,,,157.8,,,128.0,194.4,,37.7,,,27.8,,51.0,,,20.6,14.1,30.3,,,23.3,,,15.8,,34.4,,25.9,,18.0,37.1,,41.7,,30.6,,,56.6,,^,^,,^,,^,,^,,^,
Okaloosa,459.8,433.5,,487.5,,,,61.1,,52.1,,,71.5,,94.9,79.0,,,113.6,,,147.3,,,126.1,171.5,,43.1,,,35.1,,52.6,,,21.1,15.8,27.9,,,15.5,,,11.2,,21.4,,15.4,,10.8,21.5,,28.2,,21.4,,,36.9,,14.8,8.8,,24.1,,14.1,,8.0,,23.7,
Okeechobee,588.9,525.9,,659.2,,,,107.6,,83.2,,,139.3,,145.8,106.7,,,198.7,,,128.0,,,85.7,189.4,,54.3,,,35.1,,82.1,,,26.8,15.0,47.1,,,34.5,,,20.7,,56.5,,18.5,,8.9,37.0,,30.6,,17.5,,,53.5,,^,^,,^,,^,,^,,^,
Orange,450.7,440.2,,461.4,,,,41.5,,38.3,,,44.8,,122.1,114.2,,,130.4,,,139.1,,,131.2,147.4,,39.1,,,36.0,,42.3,,,14.8,12.9,16.9,,,14.3,,,12.5,,16.3,,19.8,,17.6,22.2,,29.4,,26.3,,,32.8,,9.6,7.6,,12.0,,8.9,,6.9,,11.3,
Osceola,497.9,477.7,,518.7,,,,43.7,,37.9,,,50.2,,146.5,131.0,,,163.7,,,150.9,,,135.9,167.3,,38.5,,,33.1,,44.6,,,17.1,13.5,21.6,,,15.8,,,12.4,,19.9,,23.5,,19.2,28.4,,22.7,,18.1,,,28.3,,9.3,5.8,,14.3,,13.7,,9.3,,19.6,
Palm Beach,432.3,423.6,,441.2,,,,39.0,,36.6,,,41.5,,98.8,93.2,,,104.7,,,116.3,,,109.6,123.4,,32.3,,,29.8,,34.9,,,17.7,16.2,19.4,,,16.5,,,14.8,,18.3,,21.7,,19.8,23.9,,28.5,,26.0,,,31.2,,10.0,8.1,,12.3,,6.5,,4.8,,8.6,
Pasco,524.8,509.3,,540.8,,,,60.8,,56.0,,,66.0,,107.8,98.5,,,118.0,,,127.3,,,116.4,139.1,,40.9,,,36.6,,45.7,,,18.5,15.9,21.6,,,21.6,,,18.5,,25.1,,27.0,,23.5,30.9,,36.8,,32.5,,,41.7,,10.2,7.2,,14.2,,8.4,,5.5,,12.5,
Pinellas,490.3,478.8,,502.0,,,,59.6,,56.0,,,63.5,,106.2,99.4,,,113.7,,,137.9,,,129.0,147.5,,38.7,,,35.5,,42.3,,,21.5,19.4,23.8,,,22.5,,,20.1,,25.2,,20.1,,17.8,22.7,,30.8,,27.7,,,34.4,,12.0,9.4,,15.4,,8.7,,6.3,,11.9,
